Date,symbol,adj_close,ret
2019-04-30,SPX,2945.83,0.03931343494213935
2019-05-31,SPX,2752.06,-0.06577772648116154
2019-06-28,SPX,2941.76,0.06893018320821498
2019-07-31,SPX,2980.38,0.013128195366039375
2019-08-30,SPX,2926.46,-0.01809165274226776
2019-09-30,SPX,2976.74,0.017181167690656807
2019-10-31,SPX,3037.56,0.020431747482144935
2019-11-29,SPX,3140.98,0.03404706409091518
2019-12-31,SPX,3230.78,0.028589803182446305
2020-01-31,SPX,3225.52,-0.001628089811129274
2020-02-28,SPX,2954.22,-0.08411046900964814
2020-03-31,SPX,2584.59,-0.12511932083595656
2020-04-30,SPX,2912.43,0.12684410293315374
2020-05-29,SPX,3044.31,0.04528177501261843
2020-06-30,SPX,3100.29,0.018388403283502663
2020-07-31,SPX,3271.12,0.0551012969754443
2020-08-31,SPX,3500.31,0.07006468732421922
2020-09-30,SPX,3363.0,-0.0392279540954944
2020-10-30,SPX,3269.96,-0.0276657746060065
2020-11-30,SPX,3621.63,0.10754565805086314
2020-12-31,SPX,3756.07,0.03712140665943231
2021-01-29,SPX,3714.24,-0.011136640158463607
2021-02-26,SPX,3811.15,0.026091474971999817
2021-03-31,SPX,3972.89,0.04243863400810777
2021-04-30,SPX,4181.17,0.05242531255584737
2021-05-28,SPX,4204.11,0.005486502581813157
2021-06-30,SPX,4297.5,0.02221397632316946
2021-07-30,SPX,4395.26,0.02274810936591054
2021-08-31,SPX,4522.68,0.028990321391681118
2021-09-30,SPX,4307.54,-0.047569140421166334
2021-10-29,SPX,4605.38,0.06914387330123462
2021-11-30,SPX,4567.0,-0.00833373141847149
2021-12-31,SPX,4766.18,0.04361287497262989
2022-01-31,SPX,4515.55,-0.05258508910699977
2022-02-28,SPX,4373.94,-0.03136052086678265
2022-03-31,SPX,4530.41,0.03577323877328009
2022-04-29,SPX,4131.93,-0.08795671914903935
2022-05-31,SPX,4132.15,5.324388360872234e-05
2022-06-30,SPX,3785.38,-0.08391999322386645
2022-07-29,SPX,4130.29,0.09111634763220589
2022-08-31,SPX,3955.0,-0.04244011921681046
2022-09-30,SPX,3585.62,-0.09339570164348932
2022-10-31,SPX,3871.98,0.07986345457689326
2022-11-30,SPX,4080.11,0.053752860293699856
2022-12-30,SPX,3839.5,-0.058971449299161094
2023-01-31,SPX,4076.6,0.06175283240005203
2023-02-28,SPX,3970.15,-0.026112446646715304
2023-03-31,SPX,4109.31,0.03505157235872702
2023-04-28,SPX,4169.48,0.01464236088297044
2023-05-31,SPX,4179.83,0.002482323934879238
2023-06-30,SPX,4450.38,0.0647275128414313
2023-07-31,SPX,4588.96,0.031138913980379268
2023-08-31,SPX,4507.66,-0.01771643248143373
2023-09-29,SPX,4288.05,-0.04871929116215501
2023-10-31,SPX,4193.8,-0.021979687736850106
2023-11-30,SPX,4567.8,0.08917926462873771
2023-12-29,SPX,4769.83,0.04422916940321375
2024-01-31,SPX,4845.65,0.015895744712075555
2024-02-29,SPX,5096.27,0.05172061539731532
2024-03-28,SPX,5254.35,0.031018764704381807
2024-04-30,SPX,5035.69,-0.04161504277408257
2024-05-31,SPX,5277.51,0.04802122449952262
2024-06-28,SPX,5460.48,0.034669759034089864
2024-07-31,SPX,5522.3,0.011321349038912354
2024-08-30,SPX,5648.4,0.022834688445031892
2024-09-30,SPX,5762.48,0.020196869910062976
2024-10-31,SPX,5705.45,-0.009896780552817508
2024-11-29,SPX,6032.38,0.057301352215863854
2024-12-31,SPX,5881.63,-0.024990136563014964
2025-01-31,SPX,6040.53,0.027016320305765618
2025-02-28,SPX,5954.5,-0.014242127760312417
2025-03-31,SPX,5611.85,-0.05754471408178685
2025-04-30,SPX,5569.06,-0.007624936518260461
2025-05-30,SPX,5911.69,0.06152384783069298
2025-06-30,SPX,6204.95,0.04960679602617879
2025-07-31,SPX,6339.39,0.021666572655702376
2025-08-29,SPX,6460.26,0.01906650324400294
2025-09-30,SPX,6688.46,0.03532365570425955
2025-10-31,SPX,6840.2,0.022686836730727133
2025-11-28,SPX,6849.09,0.001299669600304032
2025-12-31,SPX,6845.5,-0.0005241572238063874
2015-02-27,SPY,210.66,0.05620456254700423
2015-03-31,SPY,206.43,-0.020079749359156907
2015-04-30,SPY,208.46,0.009833841980332325
2015-05-29,SPY,211.14,0.012856183440468127
2015-06-30,SPY,205.85,-0.025054466230936767
2015-07-31,SPY,210.5,0.022589264027204292
2015-08-31,SPY,197.67,-0.060950118764845684
2015-09-30,SPY,191.63,-0.03055597713360647
2015-10-30,SPY,207.93,0.08505975056097692
2015-11-30,SPY,208.69,0.003655076227576437
2015-12-31,SPY,203.87,-0.023096458862427505
2016-01-29,SPY,193.72,-0.049786628733997196
2016-02-29,SPY,193.56,-0.0008259343382200912
2016-03-31,SPY,205.52,0.06178962595577597
2016-04-29,SPY,206.33,0.003941222265472888
2016-05-31,SPY,209.84,0.01701158338583819
2016-06-30,SPY,209.48,-0.0017155928326344494
2016-07-29,SPY,217.12,0.036471262172999896
2016-08-31,SPY,217.38,0.0011974944731023562
2016-09-30,SPY,216.3,-0.0049682583494341515
2016-10-31,SPY,212.55,-0.01733703190013869
2016-11-30,SPY,220.38,0.03683839096683128
2016-12-30,SPY,223.53,0.014293493057446316
2017-01-31,SPY,227.53,0.01789468975081654
2017-02-28,SPY,236.47,0.03929152199709929
2017-03-31,SPY,235.74,-0.0030870723559013324
2017-04-28,SPY,238.08,0.00992618987019589
